Home,Road,line,vscore,hscore,week,actual
USC,Texas,15.5,24,27,4,3
UTEP,Arizona,-23,63,16,4,-47
Utah,San Jose St.,26,16,54,4,38
Vanderbilt,Kansas St.,-3.5,7,14,4,7
Virginia,Connecticut,10.5,18,38,4,20
Wake Forest,Utah St.,11,10,46,4,36
Washington,Fresno St.,33,16,48,4,32
Washington St.,Oregon St.,21,23,52,4,29
Western Kentucky,Louisiana Tech,6,23,22,4,-1
Western Mich.,Idaho,20.5,28,37,4,9
Wyoming,Oregon,-13.5,49,13,4,-36
Air Force,San Diego St.,-3,28,24,5,-4
Appalachian St.,Wake Forest,-6,20,19,5,-1
Arizona,Utah,-3.5,30,24,5,-6
Arizona St.,Oregon,-14.5,35,37,5,2
Baylor,Oklahoma,-27.5,49,41,5,-8
Boise St.,Virginia,12.5,42,23,5,-19
Buffalo,Florida Atlantic,1.5,31,34,5,3
California,USC,-17,30,20,5,-10
Central Mich.,Miami (Ohio),1,31,14,5,-17
Charlotte,Georgia St.,3,28,0,5,-28
Clemson,Boston College,33,7,34,5,27
Colorado,Washington,-11,37,10,5,-27
Connecticut,East Carolina,4,41,38,5,-3
Eastern Mich.,Ohio,3,27,20,5,-7
Florida St.,NC St.,11.5,27,21,5,-6
Georgia,Mississippi St.,3,3,31,5,28
Georgia Tech,Pittsburgh,7,17,35,5,18
Houston,Texas Tech,7,27,24,5,-3
Indiana,Georgia Southern,23.5,17,52,5,35
Iowa,Penn St.,-11.5,21,19,5,-2
Kansas,West Va.,-24.5,56,34,5,-22
Kentucky,Florida,-3,28,27,5,-1
LSU,Syracuse,22,26,35,5,9
Louisiana-Lafayette,Louisiana-Monroe,6.5,56,50,5,-6
Louisville,Kent,41.5,3,42,5,39
Maryland,Central Florida,6,38,10,5,-28
Miami (Fla.),Toledo,13.5,30,52,5,22
Michigan St.,Notre Dame,-3,38,18,5,-20
Middle Tenn.,Bowling Green,7,13,24,5,11
Missouri,Auburn,-17.5,51,14,5,-37
Navy,Cincinnati,10,32,42,5,10
Nebraska,Rutgers,11,17,27,5,10
New Mexico St.,UTEP,19.5,14,41,5,27
North Carolina,Duke,1,27,17,5,-10
North Texas,UAB,10,43,46,5,3
Ohio St.,UNLV,39,21,54,5,33
Oklahoma St.,TCU,11,44,31,5,-13
Purdue,Michigan,-11,28,10,5,-18
Rice,Florida Intl.,3,13,7,5,-6
SMU,Arkansas St.,3.5,21,44,5,23
San Jose St.,Utah St.,-1.5,61,10,5,-51
South Alabama,Idaho,6.5,29,23,5,-6
South Carolina,Louisiana Tech,9.5,16,17,5,1
South Florida,Temple,19.5,7,43,5,36
Stanford,UCLA,7,34,58,5,24
Tennessee,Massachusetts,27.5,13,17,5,4
Texas A&M,Arkansas,1.5,43,50,5,7
Texas St.,Texas-San Antonio,-13,44,14,5,-30
Troy St.,Akron,17.5,17,22,5,5
Tulane,Army,3,17,21,5,4
Tulsa,New Mexico,10.5,16,13,5,-3
Vanderbilt,Alabama,-20,59,0,5,-59
Virginia Tech,Old Dominion,28.5,0,38,5,38
