Home,Road,line,vscore,hscore,week,actual
Ohio,Toledo,-4,10,38,12,28
Ohio St.,Michigan St.,16.5,3,48,12,45
Oklahoma,TCU,6.5,20,38,12,18
Penn St.,Rutgers,31,6,35,12,29
Pittsburgh,North Carolina,9.5,34,31,12,-3
Rice,Southern Miss.,-10,43,34,12,-9
South Alabama,Arkansas St.,-11,19,24,12,5
South Carolina,Florida,5.5,20,28,12,8
Stanford,Washington,-6,22,30,12,8
Syracuse,Wake Forest,1,64,43,12,-21
Texas,Kansas,33.5,27,42,12,15
Texas A&M,New Mexico,17.5,14,55,12,41
Texas St.,Georgia St.,-6.5,33,30,12,-3
Texas-San Antonio,UAB,8,24,19,12,-5
UCLA,Arizona St.,3,37,44,12,7
UNLV,BYU,3.5,31,21,12,-10
Utah,Washington St.,-1,33,25,12,-8
Vanderbilt,Kentucky,1.5,44,21,12,-23
Western Mich.,Kent,21.5,20,48,12,28
Wisconsin,Iowa,11.5,14,38,12,24
Akron,Ohio,-13,34,37,13,3
Arkansas,Mississippi St.,-13,28,21,13,-7
Arkansas St.,Texas St.,26,12,30,13,18
Auburn,Louisiana-Monroe,37.5,14,42,13,28
BYU,Massachusetts,4,16,10,13,-6
Ball St.,Buffalo,-20,40,24,13,-16
Baylor,Iowa St.,-8,23,13,13,-10
Boise St.,Air Force,17,19,44,13,25
Boston College,Connecticut,21.5,16,39,13,23
Bowling Green,Toledo,-18,66,37,13,-29
Colorado St.,San Jose St.,32.5,14,42,13,28
Duke,Georgia Tech,-7,20,43,13,23
East Carolina,Cincinnati,-3.5,20,48,13,28
Florida,UAB,10.5,7,36,13,29
Florida Atlantic,Florida Intl.,14.5,24,52,13,28
Georgia,Kentucky,21.5,13,42,13,29
Georgia Southern,South Alabama,-5,0,52,13,52
Idaho,Coastal Carolina,7,13,7,13,-6
Indiana,Rutgers,10.5,0,41,13,41
Iowa,Purdue,7,24,15,13,-9
Kansas,Oklahoma,-37.5,41,3,13,-38
Kent,Central Mich.,-17.5,42,23,13,-19
Louisiana-Lafayette,New Mexico St.,-5,34,47,13,13
Louisville,Syracuse,13,10,56,13,46
Memphis,SMU,11.5,45,66,13,21
Miami (Fla.),Virginia,19.5,28,44,13,16
Miami (Ohio),Eastern Mich.,3,27,24,13,-3
Michigan St.,Maryland,15.5,7,17,13,10
Mississippi,Texas A&M,-1.5,31,24,13,-7
New Mexico,UNLV,1.5,38,35,13,-3
North Texas,Army,2.5,49,52,13,3
Northern Ill.,Western Mich.,8,31,35,13,4
Northwestern,Minnesota,7,0,39,13,39
Notre Dame,Navy,18,17,24,13,7
Ohio St.,Illinois,41,14,52,13,38
Oklahoma St.,Kansas St.,19.5,45,40,13,-5
Old Dominion,Rice,8,21,24,13,3
Oregon,Arizona,3,28,48,13,20
Oregon St.,Arizona St.,-7,40,24,13,-16
Penn St.,Nebraska,25.5,44,56,13,12
San Diego St.,Nevada,16.5,23,42,13,19
South Florida,Tulsa,22,20,27,13,7
Southern Miss.,Charlotte,17.5,21,66,13,45
Stanford,California,14,14,17,13,3
Temple,Central Florida,-13,45,19,13,-26
Tennessee,LSU,-16,30,10,13,-20
Texas Tech,TCU,-6,27,3,13,-24
Texas-San Antonio,Marshall,1,7,9,13,2
Tulane,Houston,-9.5,17,20,13,3
USC,UCLA,15.5,23,28,13,5
UTEP,Louisiana Tech,-17,42,21,13,-21
Utah St.,Hawaii,10,0,38,13,38
Vanderbilt,Missouri,-8,45,17,13,-28
Virginia Tech,Pittsburgh,15.5,14,20,13,6
Wake Forest,NC St.,1.5,24,30,13,6
Washington,Utah,17.5,30,33,13,3
West Va.,Texas,3,28,14,13,-14
Western Kentucky,Middle Tenn.,-1.5,38,41,13,3
Wisconsin,Michigan,7,10,24,13,14
Wyoming,Fresno St.,-2.5,13,7,13,-6
Air Force,Utah St.,1.5,35,38,14,3
Akron,Kent,15,14,24,14,10
Arizona St.,Arizona,-2.5,30,42,14,12
Arkansas,Missouri,-8,48,45,14,-3
Auburn,Alabama,-5.5,14,26,14,12
Ball St.,Miami (Ohio),-18,28,7,14,-21
Buffalo,Ohio,-6.5,24,31,14,7
Central Florida,South Florida,9,42,49,14,7
Central Mich.,Northern Ill.,-3,24,31,14,7
Charlotte,Florida Atlantic,-24.5,31,12,14,-19
Cincinnati,Connecticut,6,21,22,14,1
Eastern Mich.,Bowling Green,12.5,31,34,14,3
Florida,Florida St.,-5.5,38,22,14,-16
Florida Intl.,Western Kentucky,-3,17,41,14,24
Fresno St.,Boise St.,-6.5,17,28,14,11
Georgia St.,Appalachian St.,-6,31,10,14,-21
Georgia Tech,Georgia,-11.5,38,7,14,-31
Hawaii,BYU,-3.5,30,20,14,-10
Houston,Navy,4.5,14,24,14,10
Illinois,Northwestern,-16,42,7,14,-35
Kansas St.,Iowa St.,2,19,20,14,1
Kentucky,Louisville,-9.5,44,17,14,-27
LSU,Texas A&M,11,21,45,14,24
Louisiana Tech,Texas-San Antonio,1.5,6,20,14,14
Louisiana-Lafayette,Georgia Southern,5.5,34,24,14,-10
Louisiana-Monroe,Arkansas St.,-9.5,67,50,14,-17
Marshall,Southern Miss.,2.5,28,27,14,-1
Maryland,Penn St.,-23.5,66,3,14,-63
Memphis,East Carolina,29,13,70,14,57
Michigan,Ohio St.,-13,31,20,14,-11
Middle Tenn.,Old Dominion,13.5,10,41,14,31
Minnesota,Wisconsin,-18,31,0,14,-31
Mississippi St.,Mississippi,13.5,31,28,14,-3
NC St.,North Carolina,16,21,33,14,12
Nebraska,Iowa,-5,56,14,14,-42
Nevada,UNLV,3,16,23,14,7
New Mexico St.,Idaho,10,10,17,14,7
Oklahoma,West Va.,22.5,31,59,14,28
Oklahoma St.,Kansas,41.5,17,58,14,41
Oregon,Oregon St.,25.5,10,69,14,59
Pittsburgh,Miami (Fla.),-11,14,24,14,10
Purdue,Indiana,2.5,24,31,14,7
Rice,North Texas,-12,30,14,14,-16
Rutgers,Michigan St.,-13.5,40,7,14,-33
SMU,Tulane,7,38,41,14,3
San Diego St.,New Mexico,20.5,10,35,14,25
San Jose St.,Wyoming,-18,17,20,14,3
South Carolina,Clemson,-13.5,34,10,14,-24
Stanford,Notre Dame,-3,20,38,14,18
Syracuse,Boston College,-3,42,14,14,-28
TCU,Baylor,24,22,45,14,23
Tennessee,Vanderbilt,2,42,24,14,-18
Texas,Texas Tech,7.5,27,23,14,-4
Toledo,Western Mich.,11.5,10,37,14,27
Troy St.,Texas St.,24.5,9,62,14,53
Tulsa,Temple,-4.5,43,22,14,-21
UAB,UTEP,21,7,28,14,21
UCLA,California,7,27,30,14,3
Utah,Colorado,10.5,13,34,14,21
Virginia,Virginia Tech,-6.5,10,0,14,-10
Wake Forest,Duke,11,31,23,14,-8
Washington,Washington St.,10,14,41,14,27
Appalachian St.,Louisiana-Lafayette,14.5,14,63,15,49
Arkansas St.,Troy St.,-1,32,25,15,-7
Auburn,Georgia,-1.5,28,7,15,-21
Boise St.,Fresno St.,9.5,14,17,15,3
Central Florida,Memphis,7,55,62,15,7
Clemson,Miami (Fla.),10,3,38,15,35
Coastal Carolina,Georgia Southern,-3.5,17,28,15,11
Florida Atlantic,North Texas,12,17,41,15,24
Florida Intl.,Massachusetts,-3,45,63,15,18
Florida St.,Louisiana-Monroe,25.5,10,42,15,32
Georgia St.,Idaho,7,24,10,15,-14
New Mexico St.,South Alabama,10.5,17,22,15,5
Oklahoma,TCU,7.5,17,41,15,24
Toledo,Akron,21,28,45,15,17
USC,Stanford,4.5,28,31,15,3
Wisconsin,Ohio St.,-4,27,21,15,-6
Navy,Army,3,14,13,16,-1
Arizona,Purdue,3,38,35,19,-3
Arizona St.,NC St.,-7,52,31,19,-21
Arkansas St.,Middle Tenn.,3.5,35,30,19,-5
Auburn,Central Florida,9.5,34,27,19,-7
Boise St.,Oregon,-7,28,38,19,10
Clemson,Alabama,-3,24,6,19,-18
Colorado St.,Marshall,5,31,28,19,-3
Duke,Northern Ill.,5,14,36,19,22
Florida Atlantic,Akron,22.5,3,50,19,47
Florida Intl.,Temple,-7,28,3,19,-25
Florida St.,Southern Miss.,16.5,13,42,19,29
Fresno St.,Houston,-2.5,27,33,19,6
Iowa,Boston College,2.5,20,27,19,7
Memphis,Iowa St.,3.5,21,20,19,-1
Miami (Fla.),Wisconsin,-4.5,34,24,19,-10
Michigan,South Carolina,7.5,26,19,19,-7
Mississippi St.,Louisville,-6.5,27,31,19,4
Navy,Virginia,1.5,7,49,19,42
New Mexico St.,Utah St.,-4,20,26,19,6
Northwestern,Kentucky,7.5,23,24,19,1
Notre Dame,LSU,-3.5,17,21,19,4
Ohio,UAB,6.5,6,41,19,35
Ohio St.,USC,7.5,7,24,19,17
Oklahoma,Georgia,-2,54,48,19,-6
Oklahoma St.,Virginia Tech,6,21,30,19,9
Penn St.,Washington,1.5,28,35,19,7
SMU,Louisiana Tech,4,51,10,19,-41
San Diego St.,Army,6,42,35,19,-7
South Florida,Texas Tech,2.5,34,38,19,4
TCU,Stanford,3.5,37,39,19,2
Texas,Missouri,-2.5,16,33,19,17
Toledo,Appalachian St.,7,34,0,19,-34
Troy St.,North Texas,6.5,30,50,19,20
UCLA,Kansas St.,-2.5,35,17,19,-18
Wake Forest,Texas A&M,3,52,55,19,3
Washington St.,Michigan St.,-2,42,17,19,-25
West Va.,Utah,-6.5,30,14,19,-16
Western Kentucky,Georgia St.,6.5,27,17,19,-10
Wyoming,Central Mich.,3.5,14,37,19,23
Georgia,Alabama,-4,26,23,20,-3
